,Name,Age,Tm,wOBA,wRAA,BA,SLG,OBP,BAbip,SB,HR,BB,1B,2B,3B,SO,Reliability,bat_WAR
39,Jomar Reyes,27,EVN,0.3376099209141224,-11.37353905349911,0.30090899031959567,0.4277430827816926,0.34366403978930893,0.3433585249328724,3,6,12,70,20,0,53,0.98,-1.137353905349911
40,Gavin Stupienski,30,SSX,0.37733084577114423,1.5560000166613532,0.301,0.479,0.391,0.3492063492063492,0,13,36,63,7,0,66,1.0,0.15560000166613533
41,Trey Hair,29,TRC,0.37767205197610193,1.2697736470949637,0.29786970958787096,0.49009248345077927,0.3757211936792654,0.3387945829376278,8,7,18,33,9,0,37,0.4,0.12697736470949636
42,Brett Milazzo,29,SCH,0.3654953545479861,-2.2848215365588787,0.2964444444444444,0.39322222222222225,0.40355555555555556,0.3482548619160641,21,3,40,65,10,2,49,1.0,-0.22848215365588787
43,Cito Culver,31,TRC,0.36390913648470746,-0.5833593507213681,0.29,0.42874999999999996,0.39112500000000006,0.34121842690747284,9,8,50,61,14,0,63,1.0,-0.058335935072136816
44,Ti'Quan Forbes,27,NJJ,0.38892091689223307,4.68831626072727,0.297697655616058,0.5099150571215033,0.38086938794576125,0.34957781704838525,15,14,27,53,10,1,69,0.8049999999999999,0.46883162607272705
45,Sicnarf Loopstok,31,OTT,0.3587164365671601,-2.5813281689947387,0.29748058785322795,0.46272163659335175,0.36476266647092315,0.3406805614428167,1,7,19,45,13,0,45,0.665,-0.25813281689947387
46,Victor Cerny,25,TRI,0.3430313637112081,-4.0001028507845025,0.29670686725923545,0.42668207906256667,0.356940059390348,0.3550245033161445,0,3,17,42,14,0,41,0.4675,-0.40001028507845027
47,Rodrigo Orozco,29,TRI,0.35562421195202043,-5.221810902170389,0.29188888888888886,0.4187777777777778,0.38011111111111107,0.32382821768296627,12,5,35,52,11,1,39,1.0,-0.5221810902170388
48,Aaron Altherr,33,TRC,0.3998042084461166,8.324257801600037,0.294238827808029,0.5461425285607517,0.38414219397288063,0.35757216802211184,6,16,33,45,13,0,78,0.9025,0.8324257801600037
49,Matt Warkentin,27,JOL,0.40719021819163564,9.42278938675103,0.2945143983557548,0.6014923692077727,0.3665624177877429,0.32516451179516004,0,22,23,42,13,1,74,0.79,0.9422789386751029
50,Josh Broughton,26,EVNTRC,0.35706725392520583,-1.3549048233056202,0.2951473236974161,0.4422009515801835,0.37159573844223787,0.3477443826533,13,5,21,38,9,0,39,0.37749999999999995,-0.13549048233056202
51,Robert Chayka,25,WST,0.37445528250031734,0.8312281920196501,0.2937243983557548,0.4458623692077727,0.3918424177877429,0.3394597498903981,22,6,33,51,16,1,49,0.79,0.08312281920196501
52,Jakob Goldfarb,28,TRC,0.4233930021656709,16.481739615974778,0.2930862378994946,0.5322538534771158,0.42183004973663607,0.3194226830947659,23,15,40,46,18,0,61,0.975,1.6481739615974778
