,Name,Age,Tm,ERA,FIP,IP,K,BB,HR,K%,BB%,HR%,Reliability
84,Carter Poiry,26.0,FLR,4.31412310233918,4.588712535024861,72.23519999999999,60,37,7,0.17993584319662348,0.0673361408822818,0.01980250309780092,0.6120000000000001
85,Darrien Ragins,28.0,LEC,2.79636310233918,3.0687125350248605,71.508,80,30,3,0.25222442944824475,0.07767725631678245,0.010850492721666029,0.6120000000000001
86,Mike Reagan,24.0,SSX,4.090502807017543,4.4639754934155285,67.42399999999999,56,24,8,0.18982717281478423,0.07310878205303963,0.029916575756408496,0.52
87,Javier Reynoso,31.0,WCT,4.436879247076023,3.72790021707886,66.92056583242655,64,30,4,0.19690069538662666,0.08760041371264522,0.01572809199856727,0.63
88,Braden Scott,26.0,EVN,3.2525000000000004,3.3175141325983266,62.1032,72,21,5,0.2900399290150843,0.07242679680567879,0.020740905057675244,1.0
89,July Sosa,27.0,RKL,4.805999999999999,4.405129746223618,80.4108,69,25,11,0.19105542728901947,0.04590793871191695,0.032629930413161756,1.0
90,Alec Thomas,26.0,NJJ,5.728764763888888,5.801190039895192,82.9036,70,55,13,0.1477752897943699,0.0688362514577552,0.0333256376027439,0.7909999999999999
91,Rafi Vazquez,26.0,TRC,5.610731898391813,4.93924478632186,78.1356,60,26,12,0.16036860012724816,0.04446853990864533,0.03255318825205388,0.711
92,Brac Warren,28.0,TRC,4.008042141812866,4.053637049784037,78.706,103,50,8,0.2998108123770312,0.11923768069691994,0.025872942055700884,0.99
93,Lukas Young,27.0,WST,3.408369557017544,3.51712336860496,66.24996,62,18,6,0.2393529584009401,0.051959378281264984,0.018127994379158286,0.862
94,Freisis Adames,27.0,SSX,4.3507583092105255,3.791361122478528,67.6613,69,23,7,0.2218904205282854,0.05216982849326421,0.010018940520336656,0.541
95,Cam Aufderheide,27.0,JOL,4.386666666666667,4.224703088469716,105.63701999999999,78,45,8,0.16203343284459146,0.08829479089411153,0.01576496037582885,1.0
96,Jon Beymer,25.0,EVN,4.01868995614035,3.407934433595527,70.682,75,34,3,0.2119331697149179,0.06942793249820055,0.0122043072071246,0.5800000000000001
97,Garrison Bryant,25.0,TRC,5.525857614766081,5.157231099715192,79.7269,61,29,13,0.16076591646272057,0.05728093781816167,0.03206384907702598,0.7309999999999999
98,Stephen Chamblee,28.0,LEC,5.954461684210526,5.0986441019915265,77.40799999999999,59,23,13,0.1660890244179586,0.04264996767032149,0.037242915791106376,0.712
99,Trevor Clifton,29.0,OTT,4.323641854532163,3.501532205061865,48.795180722891565,55,21,4,0.2462780548715829,0.060682711344020195,0.018006314584174468,0.2909999999999999
